energy,sigma
0.00424718,4.96134
0.00424745,5.56888
0.00424787,6.53833
0.00424853,8.08748
0.0042489,8.91744
0.00424922,9.56463
0.0042495,10.0627
0.00424975,10.4454
0.00424999,10.7395
0.00425023,10.9601
0.00425048,11.1061
0.00425066,11.1563
0.00425076,11.1637
0.00425095,11.1371
0.00425118,11.0354
0.00425143,10.8443
0.00425167,10.5812
0.00425191,10.2484
0.00425217,9.80589
0.00425246,9.2448
0.00425278,8.56412
0.00425318,7.64819
0.00425389,5.98147
0.00425417,5.35024
0.00425446,4.71482
0.00425465,4.31379
0.00425487,3.89792
0.00425504,3.57829
0.00425522,3.277
0.00425539,2.99441
0.00425557,2.73069
0.00425568,2.56531
0.00425583,2.36478
0.00425598,2.17763
0.00425613,2.0035
0.00425628,1.84197
0.00425643,1.69254
0.00425658,1.55468
0.00425673,1.42781
0.00425688,1.31134
0.00425703,1.20464
0.00425718,1.1071
0.00425733,1.01811
0.00425748,0.937055
0.00425763,0.863332
0.00425778,0.796374
0.00425793,0.735623
0.00425808,0.680562
0.00425823,0.63068
0.00425838,0.585521
0.00425854,0.541949
0.00425866,0.51206
0.00425878,0.48447
0.0042589,0.458996
0.00425902,0.435466
0.00425914,0.413718
0.00425932,0.384121
0.0042595,0.35775
0.00425968,0.334205
0.00425986,0.313129
0.00426004,0.294214
0.00426022,0.277184
0.0042604,0.261806
0.00426062,0.245149
0.00426084,0.230288
0.00426106,0.216961
0.00426128,0.204951
0.0042615,0.194075
0.00426171,0.184181
0.004262,0.172297
0.0042623,0.161686
0.00426259,0.152149
0.00426292,0.142363
0.0042632,0.134898
0.00426348,0.12806
0.00426385,0.119787
0.00426423,0.112348
0.0042646,0.105625
0.00426498,0.0995232
0.00426535,0.0939632
0.00426572,0.0888794
0.00426618,0.083232
0.00426664,0.0781287
0.0042671,0.0734992
0.00426755,0.0692848
0.00426801,0.0654355
0.00426847,0.0619094
0.00426892,0.0586702
0.00426938,0.0556869
0.00426996,0.0522177
0.00427055,0.0490723
0.00427113,0.0462106
0.00427171,0.043599
0.00427229,0.0412086
0.00427287,0.0390147
0.00427346,0.0369962
0.00427404,0.0351345
0.00427479,0.0329459
0.00427553,0.0309612
0.00427628,0.0291555
0.00427703,0.0275077
0.00427778,0.0259999
0.00427853,0.0246164
0.00427927,0.0233438
0.00428002,0.0221706
0.00428085,0.0209712
0.00428168,0.0198698
0.00428252,0.0188561
0.00428335,0.0179209
0.00428459,0.0166483
0.00428584,0.0155121
0.00428667,0.0148209
0.00428784,0.0139316
0.004289,0.0131233
0.00429016,0.0123863
0.00429133,0.0117125
0.00429249,0.0110948
0.00429365,0.0105273
0.00429482,0.0100046
0.00429598,0.00952232
0.00429748,0.00895492
0.00429897,0.00844005
0.00430047,0.0079714
0.00430197,0.00754359
0.00430346,0.00715197
0.00430496,0.00679259
0.00430646,0.00646197
0.00430795,0.00615712
0.00430961,0.00584545
0.00431128,0.00555925
0.00431377,0.00517187
0.00431626,0.00482807
0.00431876,0.00452161
0.00432125,0.00424745
0.00432375,0.00400108
0.00432624,0.00377838
0.00432873,0.00357654
0.00433123,0.00339335
0.00433372,0.0032266
0.00433621,0.0030742
0.00433996,0.0028689
0.00434345,0.00269921
0.00434681,0.00255277
0.00435018,0.00242092
0.00435355,0.00230175
0.00435691,0.00219368
0.00436036,0.00209311
0.00436398,0.00199738
0.0043688,0.00188311
0.00437362,0.00178198
0.00437844,0.001692
0.00438318,0.00161287
0.00438792,0.00154173
0.00439266,0.00147754
0.00439739,0.00141941
0.00440249,0.00136282
0.00441012,0.0012878
0.00441776,0.00122289
0.00442646,0.00115859
0.00443515,0.00110302
0.00444378,0.00105502
0.00445226,0.00101355
0.00446356,0.000965603
0.00447354,0.000929041
0.00448351,0.00089687
0.00449847,0.000855433
0.0045139,0.00081956
0.00453003,0.000787913
0.00454709,0.000759531
0.00456414,0.000735334
0.00458419,0.000711159
0.00460913,0.000685947
0.00464085,0.000659859
0.0046753,0.000637027
0.0047152,0.000615654
0.0047551,0.000598187
0.00480371,0.000580652
0.00486256,0.000563307
0.00492764,0.000547785
0.00500482,0.00053267
0.00511191,0.000515668
0.00522081,0.000501958
0.00529621,0.000495045
0.00534515,0.000493188
0.00537705,0.000494971
0.00539532,0.000498741
0.00540676,0.000503159
0.00541748,0.000509826
0.00542551,0.000517569
0.00543087,0.000524752
0.00543623,0.000534334
0.00544159,0.00054745
0.00544609,0.000562546
0.00544974,0.000578769
0.00545248,0.000594197
0.00545522,0.000613441
0.00545705,0.00062906
0.00545888,0.000647552
0.0054607,0.000669658
0.00546253,0.000696375
0.00546375,0.000717405
0.00546496,0.000741619
0.00546618,0.000769697
0.0054674,0.000802524
0.00546831,0.000830944
0.00546922,0.000863304
0.00547014,0.000900391
0.00547105,0.000943198
0.00547196,0.000993004
0.00547257,0.0010309
0.00547318,0.00107326
0.00547379,0.00112085
0.0054744,0.00117461
0.00547501,0.00123574
0.00547562,0.00130575
0.00547607,0.0013653
0.00547653,0.00143206
0.00547699,0.00150748
0.00547744,0.0015934
0.0054779,0.00169237
0.00547821,0.00176726
0.00547851,0.00185085
0.00547881,0.00194485
0.00547912,0.00205149
0.00547935,0.00214144
0.00547957,0.00224153
0.0054798,0.00235357
0.00548003,0.00247969
0.00548026,0.00262244
0.00548049,0.00278491
0.00548072,0.00297077
0.00548087,0.00310977
0.00548102,0.00326257
0.00548117,0.00343081
0.00548132,0.00361631
0.00548148,0.00382113
0.00548163,0.0040475
0.00548178,0.0042979
0.00548193,0.00457507
0.00548209,0.00488198
0.00548224,0.0052219
0.00548239,0.00559834
0.00548254,0.00601513
0.00548269,0.0064764
0.00548285,0.00698656
0.005483,0.00755033
0.00548315,0.00817269
0.00548328,0.00874111
0.00548343,0.00948889
0.00548358,0.0103118
0.00548374,0.0112157
0.00548389,0.0122071
0.00548404,0.0132922
0.0054842,0.0144777
0.00548435,0.0157698
0.0054845,0.0171753
0.00548466,0.0187003
0.00548481,0.0203512
0.00548494,0.0218773
0.0054851,0.0238856
0.00548526,0.0260514
0.00548542,0.0283798
0.00548558,0.0308751
0.00548575,0.0335405
0.00548591,0.0363777
0.00548607,0.0393872
0.00548627,0.0434054
0.00548645,0.0472577
0.0054867,0.0527146
0.00548694,0.058513
0.00548722,0.0655539
0.00548761,0.0758728
0.00548855,0.101551
0.00548893,0.11156
0.00548926,0.119387
0.00548955,0.125512
0.00548981,0.130382
0.00549009,0.134572
0.00549032,0.137389
0.00549055,0.139438
0.0054908,0.140714
0.00549102,0.141094
0.00549121,0.140827
0.00549145,0.139683
0.00549168,0.137757
0.00549192,0.135055
0.00549219,0.13099
0.00549242,0.126794
0.0054927,0.121171
0.00549301,0.11387
0.00549337,0.104722
0.00549394,0.0891861
0.00549453,0.0731981
0.0054949,0.0633321
0.00549521,0.0558309
0.00549545,0.0501882
0.0054957,0.0449004
0.00549586,0.0415427
0.00549602,0.0383612
0.00549619,0.0353577
0.00549635,0.0325332
0.00549652,0.029886
0.00549668,0.027414
0.00549685,0.0251133
0.00549701,0.0229791
0.00549716,0.0211505
0.00549731,0.0194541
0.00549747,0.0178841
0.00549762,0.0164347
0.00549777,0.0150996
0.00549792,0.0138726
0.00549807,0.0127474
0.00549822,0.0117177
0.00549838,0.010777
0.00549853,0.00991941
0.00549863,0.00939078
0.00549876,0.00874429
0.0054989,0.0081502
0.00549903,0.00760475
0.00549916,0.00710446
0.0054993,0.00664588
0.00549943,0.00622588
0.00549956,0.00584139
0.0054997,0.00548958
0.00549983,0.00516772
0.00549996,0.00487335
0.00550009,0.00460409
0.00550023,0.00435781
0.00550036,0.00413243
0.00550049,0.00392614
0.00550063,0.00373717
0.00550076,0.00356399
0.00550091,0.00338347
0.00550106,0.00321969
0.00550122,0.00307085
0.00550137,0.00293536
0.0055016,0.00275404
0.00550183,0.00259538
0.00550205,0.00245581
0.00550228,0.00233237
0.00550251,0.00222257
0.00550274,0.00212437
0.00550304,0.00200852
0.00550333,0.00191174
0.00550361,0.00182993
0.00550388,0.00175619
0.00550429,0.00165816
0.0055047,0.00157248
0.00550511,0.00149684
0.00550552,0.0014295
0.00550594,0.00136913
0.00550648,0.0012977
0.00550703,0.00123493
0.00550758,0.00117938
0.00550819,0.00112473
0.0055088,0.00107638
0.00550941,0.00103335
0.00551001,0.000994856
0.00551093,0.000944268
0.00551184,0.000900787
0.00551245,0.000875091
0.00551355,0.000834362
0.00551464,0.000799532
0.00551574,0.000769488
0.00551683,0.000743376
0.00551848,0.000710153
0.00552012,0.000682598
0.00552201,0.000656372
0.00552359,0.000637894
0.00552596,0.00061485
0.00552834,0.000596146
0.00553071,0.000580726
0.00553388,0.000564007
0.0055379,0.000547443
0.00554192,0.000534616
0.00554727,0.000521555
0.00555263,0.000511666
0.00555847,0.000503322
0.00556797,0.000493365
0.00558063,0.000484392
0.0055989,0.000475928
0.00561765,0.000470177
0.00564833,0.000463655
0.00570804,0.000455377
0.00581728,0.000444838
0.00602412,0.00042976
0.00634916,0.000409906
0.00675072,0.000390092
0.00703264,0.000378015
0.00751193,0.000360494
0.00807594,0.00034404
0.0084903,0.000333746
0.00892933,0.000324777
0.00952624,0.000315262
0.00991816,0.000310518
0.0104371,0.000306608
0.0108603,0.000305204
0.0112408,0.00030631
0.0115706,0.000309282
0.0118261,0.000313447
0.0120569,0.000319066
0.012296,0.000327173
0.0124938,0.000336428
0.0126587,0.000346531
0.0128071,0.000358076
0.0129307,0.000370115
0.0130214,0.000380559
0.0131203,0.000394116
0.0132192,0.000410041
0.0133017,0.000425915
0.0133841,0.000444546
0.01345,0.000461961
0.013516,0.000482073
0.0135819,0.000505466
0.0136314,0.000525694
0.0136809,0.00054842
0.0137303,0.000574507
0.0137798,0.000604131
0.0138128,0.000626431
0.0138457,0.000651028
0.0138787,0.000678277
0.0139117,0.000708549
0.0139446,0.000742306
0.0139776,0.000780041
0.0140106,0.000822492
0.0140436,0.000870559
0.0140765,0.000925207
0.0141013,0.000971316
0.014126,0.00102239
0.0141507,0.00107941
0.0141755,0.00114308
0.0142002,0.00121482
0.0142249,0.00129565
0.0142414,0.00135557
0.0142579,0.00142095
0.0142744,0.00149249
0.0142909,0.00157098
0.0143074,0.00165737
0.0143238,0.00175276
0.0143403,0.00185845
0.0143568,0.00197561
0.0143733,0.0021064
0.0143898,0.00225342
0.0144022,0.00237573
0.0144145,0.00250982
0.0144269,0.00265729
0.0144392,0.00281997
0.0144516,0.00300005
0.014464,0.00320009
0.0144763,0.00342318
0.0144887,0.00367301
0.0145011,0.00395405
0.0145093,0.00416137
0.0145176,0.00438685
0.0145258,0.00463268
0.014534,0.00490122
0.0145428,0.00521429
