energy,sigma
0.0278971,0.00218498
0.0278999,0.00208778
0.0279027,0.0020009
0.0279055,0.00192289
0.0279094,0.00182799
0.0279132,0.00174514
0.0279171,0.00167234
0.0279209,0.00160801
0.0279248,0.00155087
0.0279306,0.0014764
0.0279364,0.00141287
0.027942,0.0013596
0.0279476,0.00131309
0.027956,0.00125361
0.0279645,0.00120393
0.0279729,0.00116188
0.0279813,0.00112587
0.0279925,0.00108537
0.0280038,0.00105139
0.028015,0.00102227
0.0280319,0.000985802
0.0280487,0.000955792
0.0280712,0.000923077
0.0280936,0.000896182
0.0281161,0.000873323
0.0281442,0.00084917
0.0281722,0.00082823
0.0282172,0.000799907
0.0282817,0.000766536
0.0283407,0.000740666
0.0284081,0.000715164
0.0285064,0.000682979
0.0286032,0.000655533
0.0287506,0.000619777
0.028891,0.000590689
0.0290432,0.000563556
0.0292033,0.000538732
0.0293334,0.000520971
0.0295179,0.000498935
0.0297005,0.000479759
0.0299425,0.000458133
0.0301698,0.000440987
0.0304352,0.000424182
0.0307139,0.000409538
0.0309448,0.000399617
0.0311678,0.000392243
0.0313589,0.000388217
0.0314438,0.000387567
0.0315606,0.000388636
0.0316562,0.000392404
0.0317199,0.000397545
0.0317676,0.000403726
0.0318101,0.000411838
0.0318367,0.000418664
0.0318632,0.000427526
0.0318897,0.000439105
0.0319096,0.000450223
0.0319296,0.000464172
0.0319488,0.000481253
0.0319607,0.000494142
0.0319727,0.000509369
0.0319846,0.000527459
0.0319966,0.000549142
0.0320055,0.000568351
0.0320145,0.000590688
0.0320234,0.000616861
0.0320324,0.000647791
0.0320405,0.000680984
0.032047,0.000711675
0.0320535,0.000746949
0.0320599,0.000787813
0.0320643,0.000818796
0.0320686,0.000853295
0.0320729,0.000891846
0.0320779,0.000942225
0.0320828,0.00100011
0.0320862,0.00104364
0.0320895,0.00109176
0.0320928,0.00114514
0.0320961,0.00120458
0.0320994,0.00127102
0.032102,0.00132769
0.0321045,0.00138982
0.0321071,0.00145816
0.0321096,0.00153355
0.0321122,0.00161703
0.0321148,0.00170977
0.0321173,0.00181323
0.0321199,0.00192911
0.0321218,0.00202411
0.0321236,0.00212805
0.0321255,0.00224211
0.0321274,0.00236766
0.0321293,0.00250632
0.0321312,0.00266002
0.0321331,0.00283106
0.032135,0.00302219
0.0321363,0.0031701
0.0321377,0.00333089
0.032139,0.00350614
0.0321403,0.00369764
0.0321416,0.00390757
0.032143,0.00413836
0.0321443,0.00439299
0.0321456,0.00467491
0.0321467,0.00492291
0.0321477,0.00519355
0.0321488,0.00548979
0.0321499,0.00581504
0.0321509,0.00617344
0.032152,0.00656977
0.032153,0.00700987
0.0321541,0.00750061
0.0321549,0.00792473
0.0321558,0.00838961
0.0321566,0.00890091
0.0321574,0.00946503
0.0321583,0.0100898
0.0321591,0.0107839
0.0321599,0.0115581
0.0321605,0.0121985
0.0321611,0.0128116
0.0321618,0.0136443
0.0321625,0.0145635
0.0321631,0.0155799
0.0321638,0.0167057
0.0321645,0.0179543
0.0321652,0.0193404
0.0321657,0.0204798
0.0321662,0.0217123
0.0321667,0.0230958
0.0321673,0.0245961
0.0321678,0.0262224
0.0321683,0.0279833
0.0321689,0.0298887
0.0321694,0.0319467
0.0321699,0.0341663
0.0321705,0.0365551
0.0321712,0.040063
0.0321719,0.0439072
0.0321726,0.0480987
0.0321733,0.052641
0.032174,0.0575319
0.0321747,0.0619637
0.0321754,0.0676691
0.0321765,0.0767878
0.0321779,0.0887631
0.0321801,0.108486
0.0321811,0.116512
0.032182,0.123932
0.032183,0.130665
0.0321837,0.134574
0.0321843,0.137885
0.032185,0.140535
0.0321858,0.142687
0.0321865,0.143863
0.032187,0.144089
0.0321878,0.143583
0.0321885,0.142079
0.0321894,0.1393
0.03219,0.136314
0.0321907,0.132698
0.0321917,0.126238
0.0321926,0.119077
0.0321936,0.111228
0.0321955,0.0944471
0.0321972,0.0799745
0.0321983,0.0706633
0.032199,0.0647997
0.0321998,0.0592627
0.0322004,0.0547968
0.032201,0.0506035
0.0322017,0.0466868
0.0322023,0.0430476
0.0322029,0.0396807
0.0322034,0.0373302
0.032204,0.0348879
0.0322045,0.0326176
0.032205,0.0305113
0.0322055,0.0285605
0.0322061,0.0267563
0.0322066,0.0250899
0.0322071,0.0235521
0.0322077,0.0219772
0.0322084,0.0203973
0.032209,0.0189685
0.0322097,0.0176761
0.0322103,0.0165063
0.032211,0.0154465
0.0322117,0.0144852
0.0322123,0.013612
0.0322131,0.0126685
0.0322138,0.0119249
0.0322145,0.0112482
0.0322151,0.0106306
0.0322158,0.0100659
0.0322167,0.00938512
0.0322177,0.00877616
0.0322186,0.0082292
0.0322195,0.00773596
0.0322205,0.00725478
0.0322215,0.00678982
0.0322226,0.00637197
0.0322236,0.00599489
0.0322247,0.00565326
0.0322258,0.00534266
0.0322268,0.00505932
0.0322279,0.00480008
0.0322291,0.00453383
0.0322304,0.00426572
0.0322317,0.00402312
0.0322331,0.00380283
0.0322344,0.00360215
0.0322357,0.00341878
0.0322371,0.00325076
0.0322384,0.00309638
0.03224,0.00292543
0.0322419,0.00274444
0.0322438,0.00258213
0.0322457,0.00243596
0.0322476,0.00230384
0.0322494,0.002184
0.0322513,0.00207495
0.0322532,0.00197541
0.0322555,0.00186911
0.032258,0.00175942
0.0322606,0.00166126
0.0322631,0.00157308
0.0322657,0.00149355
0.0322682,0.00142157
0.0322708,0.00135622
0.0322733,0.0012967
0.0322763,0.0012346
0.0322796,0.00117153
0.0322829,0.00111498
0.0322862,0.00106407
0.0322895,0.00101808
0.0322945,0.000957003
0.0322995,0.000903929
0.0323033,0.000867809
0.0323076,0.000831069
0.0323119,0.000798107
0.0323184,0.000754686
0.0323249,0.000717267
0.0323313,0.00068474
0.0323386,0.000652897
0.0323446,0.000630063
0.0323536,0.000600304
0.0323625,0.000574975
0.0323715,0.000553231
0.0323805,0.000534421
0.0323894,0.000518035
0.0324014,0.000499271
0.0324133,0.000483376
0.0324252,0.000469824
0.0324445,0.000451683
0.0324644,0.000436644
0.0324843,0.000424443
0.0325108,0.000411427
0.0325374,0.000401133
0.0325639,0.000392829
0.0326064,0.000382489
0.0326542,0.000373743
0.0327179,0.000365175
0.0327816,0.000358835
0.0328878,0.000351174
0.0330152,0.000344673
0.0332063,0.000337744
0.033477,0.000330675
0.0338858,0.000322858
0.0344315,0.000314914
0.0351322,0.000306853
0.0360007,0.000299387
0.0370709,0.000292652
0.0381857,0.000287971
0.0391777,0.000285893
0.0393845,0.000285841
0.0402117,0.000286892
0.040832,0.000289426
0.0414007,0.000293812
0.0417626,0.000298457
0.04195,0.000302396
0.0420623,0.00030655
0.0421191,0.000310181
0.0421627,0.000314811
0.0421929,0.000320048
0.0422149,0.000325936
0.0422287,0.000331177
0.0422425,0.000338363
0.0422528,0.000345685
0.0422632,0.00035553
0.0422692,0.000362951
0.0422752,0.000372106
0.0422813,0.000383593
0.0422858,0.000394255
0.0422901,0.00040661
0.0422943,0.000421349
0.0422971,0.000433054
0.0423,0.00044665
0.0423028,0.000462582
0.0423056,0.00048144
0.0423077,0.000497973
0.0423098,0.000517038
0.0423119,0.00053879
0.042314,0.000564275
0.0423153,0.000583828
0.0423167,0.000605904
0.0423181,0.000631071
0.0423195,0.000660168
0.0423205,0.000685327
0.0423214,0.00071073
0.0423223,0.000737916
0.0423232,0.000769392
0.042324,0.000806562
0.0423246,0.000835441
0.0423252,0.000868484
0.0423257,0.000906673
0.0423263,0.000951239
0.0423267,0.000989761
0.0423272,0.00103351
0.0423276,0.00108342
0.042328,0.00114058
0.0423285,0.00120627
0.0423289,0.00128195
0.0423292,0.00133883
0.0423295,0.00140148
0.0423297,0.00147057
0.04233,0.00154677
0.0423304,0.00164666
0.0423307,0.00175885
0.042331,0.00185205
0.0423312,0.00195371
0.0423315,0.00206468
0.0423317,0.00218574
0.042332,0.00231785
0.0423322,0.00246188
0.0423325,0.00261892
0.0423327,0.00278995
0.042333,0.00297644
0.0423332,0.00317935
0.0423335,0.00340016
0.0423337,0.00364018
0.042334,0.00390108
0.0423342,0.00418435
0.0423345,0.0044918
0.0423348,0.00482496
0.042335,0.00518617
0.0423353,0.00557696
0.0423355,0.00599974
0.0423358,0.00645659
0.042336,0.00694999
0.0423363,0.00748203
0.0423365,0.00805544
0.0423368,0.00867238
0.042337,0.00933652
0.0423373,0.0100497
0.0423375,0.0108152
0.0423378,0.0116357
0.042338,0.0125147
0.0423383,0.013455
0.0423385,0.0144603
0.0423388,0.0155327
0.042339,0.0166771
0.0423393,0.0178952
0.0423396,0.0196413
0.04234,0.0215338
0.0423403,0.0235804
0.0423406,0.025789
0.0423409,0.0277388
0.0423413,0.0301979
0.0423416,0.0328317
0.0423419,0.0356452
0.0423422,0.0386454
0.0423426,0.0418359
0.0423429,0.0452252
0.0423433,0.0500551
0.0423438,0.055249
0.0423441,0.0593853
0.0423445,0.0645325
0.042345,0.0716793
0.0423455,0.0793103
0.042346,0.0874083
0.0423465,0.0959516
0.042347,0.104906
0.0423478,0.119994
0.0423489,0.141215
0.0423511,0.186155
0.0423521,0.205485
0.0423529,0.219707
0.0423536,0.230395
0.0423544,0.240824
0.042355,0.247984
0.0423557,0.25437
0.0423564,0.258694
0.042357,0.261058
0.0423575,0.261567
0.0423582,0.260653
0.0423588,0.257904
