Run ID,40Ar,40Ar_err,39Ar,39Ar_err,38Ar,38Ar_err,37Ar,37Ar_err,36Ar,36Ar_err
37049-45 ,4.513007,0.0028231,1.272136,0.0007356,0.0136308,0.0000968,0.0213025,0.0001931,0.0000398,0.0000234
37049-47 ,5.230148,0.0038601,1.469887,0.0008847,0.0155082,0.0001412,0.025064,0.0001985,0.0001219,0.0000228
37049-49 ,5.213278,0.0032894,1.46149,0.0009943,0.0133504,0.0001412,0.0246878,0.0002081,0.0000586,0.0000228
37049-50 ,4.380321,0.0027313,1.235498,0.0007157,0.0119722,0.0000978,0.0178535,0.0002072,0.0000367,0.0000223
37049-51 ,6.244942,0.0034785,1.755472,0.0008847,0.0174093,0.0001214,0.0275928,0.0002426,0.0000567,0.000024
37049-52 ,5.714323,0.0035735,1.601182,0.0008947,0.0164267,0.0001116,0.0241477,0.0002244,0.0000691,0.0000234
37049-55,6.245159,0.0038601,1.753401,0.001104,0.0182158,0.0001313,0.028726,0.0002102,0.0000275,0.000024
 37049-56,3.95156,0.0028231,1.08529,0.0008549,0.0114408,0.0000802,0.0162258,0.0002126,0.0003245,0.000024
 37049-59,4.430751,0.0029155,1.242202,0.0006958,0.0122428,0.0000841,0.0207708,0.0002061,-7.89E-06,0.0000217
 37049-61,6.567098,0.0037643,1.846523,0.0010043,0.0186315,0.0001511,0.028969,0.0002599,0.0000583,0.0000228
37049-62 ,3.50284,0.0028231,0.9871182,0.0007256,0.0097355,0.0000939,0.0166968,0.0002183,0.000051,0.0000217
37049-63 ,6.546903,0.0033838,1.842226,0.0008649,0.0178225,0.000181,0.0279267,0.0002314,0.000019,0.0000234
37050-02 ,23.40837,0.0100603,6.525733,0.0035077,0.0671057,0.0005305,0.1085149,0.0002358,0.0002515,0.0000272
37050-06 ,13.09893,0.0054129,3.665078,0.0019116,0.0396812,0.0002014,0.0597005,0.0001611,0.0000783,0.0000241
37050-07 ,8.026436,0.0040522,2.241664,0.0012172,0.022925,0.0001915,0.0364835,0.0001231,0.0000369,0.0000219
37050-10 ,22.73378,0.009067,6.347005,0.0034078,0.0672351,0.0003408,0.1102727,0.0002233,0.0002479,0.0000297
37050-11 ,22.9593,0.0088685,6.448054,0.0029086,0.0642431,0.0004107,0.1075106,0.0002475,0.0002016,0.000028
37050-12 ,25.0102,0.0100603,7.010705,0.0026092,0.0745087,0.0004407,0.1167546,0.0002244,0.0000833,0.0000297
37050-18 ,10.30053,0.0046325,2.877628,0.0017127,0.0309784,0.0001915,0.0517428,0.0001535,0.0001886,0.0000226
37050-20 ,8.970889,0.0038601,2.508421,0.001415,0.0238944,0.0001816,0.0427259,0.0001497,0.0000102,0.0000219
37050-21 ,18.70305,0.0061,5.240664,0.0024097,0.0545484,0.0003309,0.0889175,0.0002159,0.0000633,0.0000264
37050-22 ,22.89425,0.0110549,6.417651,0.0037076,0.0677693,0.0004007,0.1092872,0.0002261,0.000188,0.0000305
37050-26 ,20.89356,0.0075802,5.848774,0.0028088,0.0629668,0.0004207,0.0949846,0.0001997,0.0003219,0.000028
37050-27,12.47232,0.004827,3.487984,0.0017127,0.0340254,0.0001618,0.0589214,0.0001716,0.0000415,0.0000241
 37050-28,20.91671,0.0084717,5.857528,0.0025095,0.0621492,0.0003508,0.0953784,0.0002349,0.0001968,0.0000272
 37050-31 ,11.72295,0.0049244,3.274496,0.0016134,0.0350051,0.0001519,0.0553959,0.0001736,0.0000101,0.0000233
37050-36 ,20.68753,0.0087693,5.785586,0.0024098,0.0629199,0.0003508,0.1006604,0.0001858,0.0001524,0.0000272
